Indicator,Group,State,Subgroup,Time Period Label,Value
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Feb 17 - Mar 1,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Feb 17 - Mar 1,29.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Feb 17 - Mar 1,23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Feb 17 - Mar 1,30
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Feb 17 - Mar 1,26.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Feb 17 - Mar 1,27
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Feb 17 - Mar 1,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Feb 17 - Mar 1,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Feb 17 - Mar 1,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Feb 17 - Mar 1,22.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Feb 17 - Mar 1,20.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Feb 17 - Mar 1,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Feb 17 - Mar 1,19
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Feb 17 - Mar 1,26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Feb 17 - Mar 1,22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Feb 17 - Mar 1,27.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Feb 17 - Mar 1,30.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Feb 17 - Mar 1,26.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Feb 17 - Mar 1,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Feb 17 - Mar 1,24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Feb 17 - Mar 1,28.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Feb 17 - Mar 1,26.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Feb 17 - Mar 1,24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Feb 17 - Mar 1,21.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Feb 17 - Mar 1,27.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Feb 17 - Mar 1,22.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Feb 17 - Mar 1,32.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Feb 17 - Mar 1,24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Feb 17 - Mar 1,24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Feb 17 - Mar 1,26.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Feb 17 - Mar 1,29
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Feb 17 - Mar 1,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Feb 17 - Mar 1,24.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,Feb 17 - Mar 1,11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,Feb 17 - Mar 1,21.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,Feb 17 - Mar 1,15.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,Feb 17 - Mar 1,13.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,Feb 17 - Mar 1,9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,Feb 17 - Mar 1,5.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,Feb 17 - Mar 1,3.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,Feb 17 - Mar 1,2.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,Feb 17 - Mar 1,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,Feb 17 - Mar 1,14.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Feb 17 - Mar 1,3.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Feb 17 - Mar 1,25.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Feb 17 - Mar 1,13.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Feb 17 - Mar 1,11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Feb 17 - Mar 1,13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Feb 17 - Mar 1,7.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Feb 17 - Mar 1,18.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,Feb 17 - Mar 1,9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,Feb 17 - Mar 1,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Feb 17 - Mar 1,14.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Feb 17 - Mar 1,11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,Feb 17 - Mar 1,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,Feb 17 - Mar 1,11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,Feb 17 - Mar 1,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,Feb 17 - Mar 1,11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,Feb 17 - Mar 1,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,Feb 17 - Mar 1,13.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,Feb 17 - Mar 1,10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,Feb 17 - Mar 1,9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,Feb 17 - Mar 1,12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,Feb 17 - Mar 1,10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,Feb 17 - Mar 1,16.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,Feb 17 - Mar 1,5.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,Feb 17 - Mar 1,12.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,Feb 17 - Mar 1,13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,Feb 17 - Mar 1,13.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,Feb 17 - Mar 1,11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,Feb 17 - Mar 1,10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,Feb 17 - Mar 1,11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,Feb 17 - Mar 1,12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,Feb 17 - Mar 1,14.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,Feb 17 - Mar 1,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,Feb 17 - Mar 1,12.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,Feb 17 - Mar 1,12.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,Feb 17 - Mar 1,10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,Feb 17 - Mar 1,13.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,Feb 17 - Mar 1,15.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,Feb 17 - Mar 1,10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,Feb 17 - Mar 1,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,Feb 17 - Mar 1,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,Feb 17 - Mar 1,10.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,Feb 17 - Mar 1,9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,Feb 17 - Mar 1,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,Feb 17 - Mar 1,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,Feb 17 - Mar 1,11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,Feb 17 - Mar 1,8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,Feb 17 - Mar 1,12.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,Feb 17 - Mar 1,9.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,Feb 17 - Mar 1,17.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Feb 17 - Mar 1,9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,Feb 17 - Mar 1,11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,Feb 17 - Mar 1,11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,Feb 17 - Mar 1,5.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,Feb 17 - Mar 1,10.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,Feb 17 - Mar 1,12.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,Feb 17 - Mar 1,14.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,Feb 17 - Mar 1,7.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,Feb 17 - Mar 1,9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,Feb 17 - Mar 1,12.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,Feb 17 - Mar 1,13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,Feb 17 - Mar 1,10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,Feb 17 - Mar 1,16.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,Mar 3 - Mar 15,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,Mar 3 - Mar 15,22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,Mar 3 - Mar 15,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,Mar 3 - Mar 15,21.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,Mar 3 - Mar 15,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,Mar 3 - Mar 15,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,Mar 3 - Mar 15,16.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,Mar 3 - Mar 15,16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,Mar 3 - Mar 15,15.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,Mar 3 - Mar 15,26.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Mar 3 - Mar 15,12.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Mar 3 - Mar 15,36.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Mar 3 - Mar 15,16.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Mar 3 - Mar 15,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Mar 3 - Mar 15,14.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Mar 3 - Mar 15,8.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Mar 3 - Mar 15,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,Mar 3 - Mar 15,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,Mar 3 - Mar 15,19.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Mar 3 - Mar 15,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Mar 3 - Mar 15,20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,Mar 3 - Mar 15,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,Mar 3 - Mar 15,19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,Mar 3 - Mar 15,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,Mar 3 - Mar 15,29.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,Mar 3 - Mar 15,18.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,Mar 3 - Mar 15,25.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,Mar 3 - Mar 15,22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,Mar 3 - Mar 15,16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,Mar 3 - Mar 15,20.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,Mar 3 - Mar 15,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,Mar 3 - Mar 15,17.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,Mar 3 - Mar 15,11.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,Mar 3 - Mar 15,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,Mar 3 - Mar 15,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,Mar 3 - Mar 15,23
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,Mar 3 - Mar 15,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,Mar 3 - Mar 15,23
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,Mar 3 - Mar 15,25.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,Mar 3 - Mar 15,28.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,Mar 3 - Mar 15,26.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,Mar 3 - Mar 15,20.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,Mar 3 - Mar 15,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,Mar 3 - Mar 15,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,Mar 3 - Mar 15,22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,Mar 3 - Mar 15,19.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,Mar 3 - Mar 15,24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,Mar 3 - Mar 15,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,Mar 3 - Mar 15,22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,Mar 3 - Mar 15,16.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,Mar 3 - Mar 15,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,Mar 3 - Mar 15,18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,Mar 3 - Mar 15,15.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,Mar 3 - Mar 15,20.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,Mar 3 - Mar 15,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,Mar 3 - Mar 15,23.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,Mar 3 - Mar 15,25
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,Mar 3 - Mar 15,20.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,Mar 3 - Mar 15,26
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Mar 3 - Mar 15,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,Mar 3 - Mar 15,25
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,Mar 3 - Mar 15,22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,Mar 3 - Mar 15,20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,Mar 3 - Mar 15,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,Mar 3 - Mar 15,17.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,Mar 3 - Mar 15,23.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,Mar 3 - Mar 15,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,Mar 3 - Mar 15,20.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,Mar 3 - Mar 15,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,Mar 3 - Mar 15,26.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,Mar 3 - Mar 15,21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,Mar 3 - Mar 15,26.6
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Mar 3 - Mar 15,10.5
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,Mar 3 - Mar 15,17
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,Mar 3 - Mar 15,14.9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,Mar 3 - Mar 15,10.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,Mar 3 - Mar 15,9
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,Mar 3 - Mar 15,5.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,Mar 3 - Mar 15,3.3
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,Mar 3 - Mar 15,
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,Mar 3 - Mar 15,8.4
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,Mar 3 - Mar 15,12.6
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Mar 3 - Mar 15,5.9
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Mar 3 - Mar 15,18.6
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Mar 3 - Mar 15,10.1
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Mar 3 - Mar 15,11.1
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Mar 3 - Mar 15,9.6
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Mar 3 - Mar 15,6
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Mar 3 - Mar 15,11.8
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,Mar 3 - Mar 15,10.4
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,Mar 3 - Mar 15,6.8
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Mar 3 - Mar 15,11.1
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Mar 3 - Mar 15,13.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,Mar 3 - Mar 15,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,Mar 3 - Mar 15,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,Mar 3 - Mar 15,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Mar 3 - Mar 15,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Mar 3 - Mar 15,11.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Mar 3 - Mar 15,16.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Mar 3 - Mar 15,11.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Mar 3 - Mar 15,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Mar 3 - Mar 15,19.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Mar 3 - Mar 15,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Mar 3 - Mar 15,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Mar 3 - Mar 15,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Mar 3 - Mar 15,10.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Mar 3 - Mar 15,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Mar 3 - Mar 15,8.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Mar 3 - Mar 15,11.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Mar 3 - Mar 15,9.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Mar 3 - Mar 15,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Mar 3 - Mar 15,11.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Mar 3 - Mar 15,10.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Mar 3 - Mar 15,13.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Mar 3 - Mar 15,18.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Mar 3 - Mar 15,9.8
